차량ID,차량명,차량번호,카테고리,가격,유종,통풍시트,선루프,열선시트,네비게이션,후방카메라,하이패스,크루즈컨트롤,스마트키,블랙박스
1,쏠라티,703호2150,승합차,일 30만원,디젤,O,X,O,O,O,X,X,X,O
2,쏠라티,703호2064,승합차,일 30만원,디젤,O,X,O,O,O,X,X,X,O
3,스타리아,703호2057,승합차,일 25만원,디젤,X,X,O,O,O,X,X,X,O
4,스타리아 11인승,703호2058,승합차,일 27만원,디젤,X,X,O,O,O,X,X,X,O
5,그랜드스타렉스,74허5262,승합차,일 20만원,디젤,X,X,X,O,O,X,X,X,O
6,그랜드스타렉스,74허5263,승합차,일 20만원,디젤,X,X,X,O,O,X,X,X,O
7,그랜드스타렉스,824머3020,승합차,일 20만원,디젤,X,X,X,O,O,X,X,X,O
8,카니발,128하1082,승합차,일 18만원,디젤,X,X,X,X,X,X,X,X,O
9,카니발,128하1081,승합차,일 18만원,디젤,X,X,X,X,X,X,X,X,O
10,카니발,160허4196,승합차,일 18만원,가솔린,X,X,X,X,X,X,X,X,O
11,더뉴카니발,145호5214,승합차,일 20만원,디젤,X,X,O,O,O,X,X,X,O
12,벤츠 E250,169하6900,대형,일 35만원,디젤,X,X,O,O,O,X,X,X,O
13,벤츠 E250,169호5889,대형,일 35만원,가솔린,X,X,O,O,O,X,X,X,O
14,벤츠 E250,169호5945,대형,일 35만원,가솔린,X,X,O,O,O,X,X,X,O
15,벤츠 E250,160하4260,대형,일 35만원,가솔린,X,X,O,O,O,X,X,X,O
16,벤츠 S350,169하6900,대형,일 50만원,디젤,O,O,O,O,O,O,O,X,O
17,제네시스 G90,128허1518,대형,일 40만원,가솔린,O,O,O,O,O,O,O,X,O
18,제네시스 G80,169호5781,대형,일 30만원,가솔린,X,X,O,O,O,X,O,X,O
19,스포티지 하이브리드,169호5891,SUV,일 15만원,하이브리드,X,X,X,O,O,X,X,O,O
20,스포티지,160허4164,SUV,일 13만원,LPG,X,X,X,X,X,X,X,X,O
21,스포티지,169호5779,SUV,일 13만원,가솔린,X,X,X,X,X,X,X,X,O
22,QM6,128하1077,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
23,QM6,128하1076,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
24,QM6,128하1075,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
25,QM6,169호6972,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
26,QM6,169호6971,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
27,QM6,169호6970,SUV,일 12만원,LPG,X,X,X,X,X,X,X,X,O
28,쏘렌토,22호1562,SUV,일 14만원,디젤,X,X,X,X,X,X,X,X,O
29,쏘렌토,63하6185,SUV,일 14만원,디젤,X,X,X,X,X,X,X,X,O
30,싼타페,54호0117,SUV,일 16만원,디젤,X,X,X,X,X,X,X,X,O
31,싼타페,146하1441,SUV,일 16만원,디젤,X,X,X,X,X,X,X,X,O
32,싼타페,128하1549,SUV,일 16만원,디젤,X,X,X,X,X,X,X,X,O
33,싼타페,160하4261,SUV,일 16만원,가솔린,X,X,X,X,X,X,X,X,O
34,팰리세이드,169하6904,SUV,일 20만원,디젤,X,X,X,O,O,X,X,X,O
35,팰리세이드,169하6983,SUV,일 20만원,가솔린,X,X,X,O,O,X,X,X,O
36,팰리세이드,169호5780,SUV,일 20만원,디젤,X,X,X,O,O,X,X,X,O
37,모하비 더 마스터,146하1419,SUV,일 18만원,디젤,X,X,O,O,O,X,O,X,O
38,GV80,160하4268,SUV,일 35만원,가솔린,O,O,O,O,O,O,O,X,O
39,베뉴,128하1305,SUV,일 10만원,가솔린,X,X,X,X,X,X,X,X,O
40,베뉴,128하1304,SUV,일 10만원,가솔린,X,X,X,X,X,X,X,X,O
41,그랜저,24호5711,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
42,그랜저,24호5688,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
43,그랜저,128하3563,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
44,그랜저,145하1900,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
45,그랜져,128하1098,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
46,그랜져,128하1097,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
47,그랜저,160호4276,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
48,그랜저,169하6990,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
49,그랜저,128하1546,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
50,그랜저,128하1548,준대형,일 15만원,LPG,X,X,X,X,X,X,X,X,O
51,그랜져GN7,125호5861,준대형,일 18만원,가솔린,O,O,O,O,O,O,O,X,O
52,그랜저GN7,175호3524,준대형,일 18만원,가솔린,O,O,O,O,O,O,O,X,O
53,K5,63하6115,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
54,K5,128하1083,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
55,K5,128하1084,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
56,K5,128하1086,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
57,K5 2026,169호6914,중형,일 14만원,LPG,O,X,O,O,O,X,O,X,O
58,쏘나타,44하0182,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
59,쏘나타,10하0201,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
60,쏘나타,24호5686,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
61,쏘나타,128하1306,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
62,쏘나타,128하1307,중형,일 12만원,LPG,X,X,O,O,O,X,X,X,O
63,쏘나타 디 엣지,169호6916,중형,일 14만원,LPG,X,X,O,O,O,X,O,X,O
64,SM6,128하1078,중형,일 11만원,LPG,X,X,X,X,X,X,X,X,O
65,아반떼,128하1447,준중형,일 10만원,가솔린,X,X,X,X,X,X,X,X,O
66,아반떼,128하1448,준중형,일 10만원,가솔린,X,X,X,X,X,X,X,X,O
67,아반떼CN7,125호5862,준중형,일 11만원,가솔린,X,X,X,X,X,X,X,X,O
68,K3,128하1303,준중형,일 9만원,가솔린,X,X,X,X,X,X,X,X,O
69,K3,128하1302,준중형,일 9만원,가솔린,X,X,X,X,X,X,X,X,O
70,레이,128하1312,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O
71,모닝,66하1833,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O
72,모닝,128하1311,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O
73,모닝,128하1308,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O
74,스파크,128하1300,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O
75,스파크,128하1301,경차,일 8만원,가솔린,X,X,X,X,X,X,X,X,O